index	value
1855	17754
1856	17474
1857	17211
1858	17211
1859	17197
1860	17197
1861	17198
1862	17464
1863	17726
1864	17739
1865	17993
1866	18006
1867	18021
1868	18021
1869	17753
1870	17753
1871	17770
1872	17770
1873	17506
1874	17771
1875	17789
1876	17771
1877	17506
1878	17506
1879	17492
1880	17489
1881	17753
1882	17488
1883	17473
1884	17473
1885	17473
1886	17473
1887	17489
1888	17488
1889	17488
1890	17754
1891	17489
1892	17488
1893	17225
1894	17226
1895	17226
1896	17210
1897	17226
1898	16949
1899	17214
1900	17214
1901	17464
1902	17453
1903	17729
1904	17726
1905	17726
1906	17738
1907	17738
1908	17738
1909	17489
1910	17477
1911	17214
1912	17214
1913	17214
1914	17214
1915	17234
1916	17229
1917	17229
1918	17492
1919	17492
1920	17492
1921	17757
1922	17492
1923	17489
1924	17489
1925	17492
1926	17489
1927	17489
1928	17474
1929	17738
1930	17738
1931	17726
1932	17739
1933	17753
1934	17753
1935	17753
1936	17753
1937	17489
1938	17492
1939	17229
1940	17201
1941	17190
1942	17190
1943	17190
1944	17453
1945	17729
1946	17461
1947	17461
1948	17473
1949	17211
1950	17489
1951	17489
1952	17225
1953	17225
1954	17489
1955	17474
1956	17742
1957	17464
1958	17464
1959	17201
1960	17458
1961	17190
1962	17464
1963	17201
1964	17201
1965	17201
1966	17198
1967	17197
1968	17210
1969	17488
1970	17473
1971	17473
1972	17488
1973	17488
1974	17473
1975	17738
1976	17210
1977	17473
1978	17473
1979	17488
1980	17488
1981	17211
1982	17226
1983	17225
1984	17210
1985	17211
1986	17214
1987	17201
1988	17201
1989	17201
1990	17477
1991	17214
1992	17477
1993	17489
1994	17754
1995	17488
1996	17488
1997	17489
1998	17226
1999	17489
2000	17754
2001	17739
2002	17726
2003	17739
2004	17753
2005	17738
2006	17738
2007	17473
2008	17197
2009	17197
2010	17210
2011	17211
2012	17210
2013	17210
2014	17754
2015	17753
2016	17753
2017	17753
2018	17754
2019	17739
2020	17753
2021	17753
2022	17489
2023	17473
2024	17225
2025	17225
2026	17210
2027	17488
2028	17225
2029	17225
2030	17225
2031	17226
2032	17229
2033	17229
2034	17229
2035	16968
2036	17229
2037	17229
2038	17492
2039	17506
2040	17753
2041	17754
2042	17754
2043	17489
2044	17489
2045	17489
2046	17492
2047	17226
2048	16968
2049	16706
2050	17211
2051	17214
2052	17214
2053	17214
2054	17201
2055	17201
2056	17742
2057	17742
2058	17718
2059	17729
2060	17477
2061	17474
2062	17474
2063	17489
2064	17214
2065	17214
2066	17492
2067	17229
2068	17477
2069	17234
2070	17492
2071	17492
2072	17492
2073	17229
2074	17492
2075	17754
2076	17754
2077	17753
2078	17753
2079	17753
2080	17488
2081	17753
2082	17488
2083	17225
2084	17226
2085	17226
2086	17226
2087	17757
2088	17489
2089	17489
2090	17754
2091	17757
2092	17754
2093	17739
2094	17726
2095	17474
2096	17729
2097	17464
2098	17729
2099	17729
2100	17742
2101	17477
2102	17742
2103	17464
2104	17489
2105	17489
2106	17226
2107	17229
2108	17489
2109	17754
2110	17742
2111	17757
2112	17739
2113	17739
2114	18009
2115	18262
2116	17993
2117	18009
2118	18006
2119	17739
2120	17754
2121	17754
2122	17725
2123	17488
2124	17489
2125	17226
2126	17226
2127	17225
2128	17225
2129	17488
2130	17488
2131	17473
2132	17473
2133	17473
2134	17739
2135	17225
2136	17226
2137	17226
2138	17226
2139	17226
2140	17243
2141	17262
2142	17262
2143	17243
2144	17505
2145	17525
2146	17506
2147	17492
2148	17492
2149	17492
2150	17742
2151	17742
2152	17742
2153	17492
2154	17229
2155	17229
2156	17477
2157	17225
2158	17225
2159	17225
2160	17226
2161	17226
2162	17197
2163	17211
2164	17211
2165	17464
2166	17742
2167	17474
2168	17211
2169	17214
2170	17477
2171	17754
2172	17754
2173	17488
2174	17488
2175	17753
2176	17753
2177	18021
2178	18024
2179	17757
2180	17742
2181	17742
2182	17742
2183	17742
2184	17461
2185	17460
2186	17726
2187	17726
2188	17715
2189	17726
2190	17477
2191	17726
2192	17757
2193	17757
2194	17492
2195	17506
2196	17265
2197	17243
2198	17242
2199	17242
2200	17225
2201	17225
2202	17225
2203	16964
2204	17225
2205	17225
2206	17225
2207	17229
2208	17229
2209	17226
2210	17226
2211	17226
2212	17229
2213	17229
2214	17214
2215	17226
2216	17226
2217	17226
2218	17474
2219	17739
2220	17753
2221	17488
2222	17488
2223	17739
2224	17754
2225	17754
2226	17488
2227	17489
2228	17242
2229	17488
2230	17753
2231	17488
2232	17488
2233	17488
2234	17753
2235	17226
2236	17243
2237	17225
2238	17225
2239	17210
2240	17211
2241	17201
2242	17461
2243	17473
2244	17461
2245	17211
2246	17474
2247	17754
2248	17489
2249	17489
2250	17753
2251	17739
2252	17753
2253	17754
2254	17754
2255	17489
2256	17754
2257	17754
2258	17754
2259	17757
2260	17774
2261	18041
2262	18310
2263	17753
2264	18005
2265	18021
2266	18020
2267	18020
2268	17754
2269	17757
2270	17757
2271	17770
2272	17790
2273	17754
2274	17754
2275	17753
2276	17753
2277	17742
2278	17477
2279	17464
2280	17201
2281	17214
2282	17219
2283	16958
2284	16968
2285	16968
2286	16968
2287	17229
2288	17229
2289	17492
2290	17489
2291	17757
2292	17754
2293	17757
2294	17757
2295	17757
2296	17757
2297	17757
2298	17492
2299	17489
2300	17757
2301	17739
2302	17474
2303	17226
2304	17225
2305	17226
2306	17754
2307	17757
2308	17754
2309	17770
2310	17754
2311	18021
2312	18009
2313	18009
2314	17754
2315	17753
2316	17739
2317	17464
2318	17726
2319	17461
2320	17198
2321	17198
2322	17211
2323	17474
2324	17226
2325	17229
2326	17492
2327	17226
2328	17226
2329	17226
2330	17211
2331	17489
2332	17754
2333	17739
2334	17489
2335	17739
2336	17753
2337	17753
2338	17753
2339	17488
2340	17488
2341	17738
2342	17753
2343	17753
2344	17738
2345	17738
2346	17742
2347	17742
2348	17742
2349	17742
2350	17477
2351	17477
2352	17482
2353	17464
2354	17201
2355	17201
2356	17214
2357	17211
2358	17201
2359	17201
2360	17214
2361	17492
2362	17754
2363	17739
2364	17742
2365	17742
2366	17742
2367	17739
2368	18006
2369	17993
2370	17726
2371	17726
2372	17726
2373	17738
2374	17739
2375	17474
2376	17488
2377	17489
2378	17226
2379	17225
2380	17753
2381	17753
2382	17738
2383	17754
2384	17739
2385	17726
2386	17726
2387	17714
2388	17714
2389	17725
2390	17726
2391	17726
2392	17726
2393	17729
2394	17729
2395	17729
2396	17729
2397	17464
2398	17453
2399	17190
2400	17718
2401	17461
2402	17190
2403	17201
2404	17201
2405	17201
2406	17201
2407	16694
2408	16694
2409	16709
2410	16968
2411	17226
